Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
2,"Virat Kohli
Royal Challengers Bangalore",148,140,23,4360,113,37.26,3358,129.83,4,29,379,157
3,"Rohit Sharma
Mumbai Indians",155,150,25,4129,109*,33.03,3145,131.28,1,32,345,170
4,"Gautam Gambhir
Kolkata Knight Riders",145,144,16,4067,93,31.77,3266,124.52,0,35,476,55
5,"David Warner
Sunrisers Hyderabad",112,112,14,3908,126,39.87,2737,142.78,3,35,390,158
6,"Robin Uthappa
Kolkata Knight Riders",146,140,15,3774,87,30.19,2861,131.91,0,22,377,125
7,"Chris Gayle
Royal Challengers Bangalore",100,99,12,3578,175*,41.12,2360,151.61,5,21,291,262
8,"Shikhar Dhawan
Sunrisers Hyderabad",125,124,17,3532,95*,33,2898,121.87,0,28,396,71
9,"MS Dhoni
Rising Pune Supergiant",156,140,48,3506,70*,38.1,2560,136.95,0,17,250,151
10,"AB de Villiers
Royal Challengers Bangalore",129,118,27,3473,133*,38.16,2344,148.16,3,22,287,156
Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
11,"Ajinkya Rahane
Rising Pune Supergiant",108,102,13,2923,103*,32.84,2420,120.78,1,24,309,58
12,"Dinesh Karthik
Gujarat Lions",151,133,17,2903,86,25.02,2304,125.99,0,14,286,71
13,"Yusuf Pathan
Kolkata Knight Riders",147,131,35,2884,100,30.04,1988,145.07,1,13,239,143
14,"Brendon McCullum
Gujarat Lions",103,104,6,2754,158*,28.1,2101,131.08,2,13,277,124
15,"Virender Sehwag
Kings XI Punjab",104,104,5,2728,122,27.55,1755,155.44,2,16,334,106
16,"Shane Watson
Royal Challengers Bangalore",101,97,13,2618,104*,31.16,1887,138.73,2,14,257,122
17,"Yuvraj Singh
Sunrisers Hyderabad",119,115,15,2578,83,25.78,1963,131.32,0,12,202,141
18,"Murali Vijay
Kings XI Punjab",100,100,5,2511,127,26.43,2035,123.39,2,13,237,89
19,"Shaun Marsh
Kings XI Punjab",70,68,7,2467,115,40.44,1853,133.13,1,20,264,78
20,"Jacques Kallis
Kolkata Knight Riders",98,96,11,2427,89*,28.55,2222,109.22,0,17,255,44
Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
21,"Ambati Rayudu
Mumbai Indians",110,103,18,2335,81*,27.47,1849,126.28,0,13,198,76
22,"Sachin Tendulkar
Mumbai Indians",78,78,11,2334,100*,34.83,1948,119.81,1,13,295,29
23,"Kieron Pollard
Mumbai Indians",119,109,31,2307,78,29.57,1568,147.13,0,12,155,145
24,"Parthiv Patel
Mumbai Indians",116,114,10,2252,81,21.65,1926,116.92,0,9,291,32
25,"Manish Pandey
Kolkata Knight Riders",102,95,18,2182,114*,28.33,1811,120.48,1,9,195,64
26,"Rahul Dravid
Rajasthan Royals",89,82,5,2174,75*,28.23,1882,115.51,0,11,269,28
27,"Adam Gilchrist
Kings XI Punjab",80,80,4,2069,109*,27.22,1495,138.39,2,11,239,92
28,"Dwayne Smith
Gujarat Lions",75,74,4,2049,87*,29.27,1534,133.57,0,16,220,98
29,"JP Duminy
Delhi Daredevils",77,73,23,1993,78*,39.86,1596,124.87,0,14,123,78
