1,"LasithMalinga
MI",107,107,415.3,2869,152,5/13,18.87,6.9,16.4,4,1
2,"Amit Mishra
Sunrisers Hyderabad",125,125,436.5,3227,134,5/17,24.08,7.38,19.55,3,1
3,"Harbhajan Singh
Mumbai Indians",136,134,486.3,3385,127,5/18,26.65,6.95,22.98,1,1
4,"Piyush Chawla
Kolkata Knight Riders",127,126,420.1,3200,123,4/17,26.01,7.61,20.49,2,0
5,"Dwayne Bravo
Gujarat Lions",106,103,336.2,2754,122,4/22,22.57,8.18,16.54,2,0
6,"Bhuvneshwar Kumar
Sunrisers Hyderabad",88,88,325.5,2303,108,5/19,21.32,7.06,18.1,2,1
7,"Ashish Nehra
Sunrisers Hyderabad",88,88,318,2495,106,4/10,23.53,7.84,18,1,0
8,"Zaheer Khan
Delhi Daredevils",99,98,361.4,2745,101,4/17,27.17,7.58,21.48,1,0
9,"Vinay Kumar
Mumbai Indians",102,101,346.4,2870,101,4/40,28.41,8.27,20.59,1,0
10,"Ravichandran Ashwin
Rising Pune Supergiant",111,108,381.4,2500,100,4/34,25,6.55,22.9,1,0
Pos,Player,Mat,Inns,Overs,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
11,"Sunil Narine
Kolkata Knight Riders",79,78,309,1953,95,5/19,20.55,6.32,19.51,6,1
12,"Dale Steyn
Gujarat Lions",90,90,343,2306,92,3/8,25.06,6.72,22.36,0,0
13,"RP Singh
Rising Pune Supergiant",82,82,295.5,2338,90,4/22,25.97,7.9,19.72,2,0
14,"Pragyan Ojha
Mumbai Indians",92,90,316.3,2332,89,3/11,26.2,7.36,21.33,0,0
15,"Praveen Kumar
Gujarat Lions",118,118,416.4,3229,88,3/18,36.69,7.74,28.4,0,0
16,"Umesh Yadav
Kolkata Knight Riders",91,90,311.5,2623,88,4/24,29.8,8.41,21.26,2,0
17,"Shane Watson
Royal Challengers Bangalore",101,93,306.1,2415,85,4/29,28.41,7.88,21.61,1,0
