rating,name,runtime,year
8.1,Guardians of the Galaxy Vol. 2,136 min,(2017)
9.0,Bahubali 2: The Conclusion,167 min,(2017)
8.0,Get Out,104 min,(I) (2017)
8.1,Guardians of the Galaxy,121 min,(2014)
7.7,Beauty and the Beast,129 min,(2017)
8.4,Logan,137 min,(2017)
7.9,Rogue One,133 min,(2016)
8.3,La La Land,128 min,(I) (2016)
7.7,Moana,107 min,(I) (2016)
8.3,Bahubali: The Beginning,159 min,(2015)
8.1,Lion,118 min,(2016)
8.1,Harry Potter and the Deathly Hallows: Part 2,130 min,(2011)
8.2,Hacksaw Ridge,139 min,(2016)
8.1,John Wick: Chapter 2,122 min,(2017)
8.0,Arrival,116 min,(II) (2016)
7.8,Hidden Figures,127 min,(2016)
8.6,Interstellar,169 min,(2014)
8.1,Star Wars: Episode VII - The Force Awakens,136 min,(2015)
7.5,Nocturnal Animals,116 min,(2016)
7.9,Manchester by the Sea,137 min,(2016)
7.6,Doctor Strange,115 min,(2016)
7.5,Moonlight,111 min,(I) (2016)
7.7,Kingsman: The Secret Service,129 min,(2014)
7.5,Harry Potter and the Sorcerer's Stone,152 min,(2001)
8.0,Deadpool,108 min,(2016)
8.5,The Prestige,130 min,(2006)
7.9,Captain America: Civil War,147 min,(2016)
9.0,The Dark Knight,152 min,(2008)
8.1,Mad Max: Fury Road,120 min,(2015)
8.1,Zootopia,108 min,(2016)
8.1,Gone Girl,149 min,(2014)
8.6,Kimi no na wa,106 min,(2016)
7.9,Captain Fantastic,118 min,(2016)
8.8,Inception,148 min,(2010)
7.8,Avatar,162 min,(2009)
8.0,Pirates of the Caribbean: The Curse of the Black Pearl,143 min,(2003)
8.2,The Wolf of Wall Street,180 min,(2013)
7.8,The Hateful Eight,187 min,(2015)
8.1,Prisoners,153 min,(2013)
8.3,Inglourious Basterds,153 min,(2009)
8.1,Ah-ga-ssi,144 min,(2016)
7.9,Kubo and the Two Strings,101 min,(2016)
7.8,Drive,100 min,(I) (2011)
7.7,T2 Trainspotting,117 min,(2017)
8.8,The Lord of the Rings: The Fellowship of the Ring,178 min,(2001)
8.1,The Avengers,143 min,(2012)
7.7,Harry Potter and the Goblet of Fire,157 min,(2005)
7.7,Hell or High Water,102 min,(II) (2016)
8.5,The Dark Knight Rises,164 min,(2012)
8.0,X-Men: Days of Future Past,132 min,(2014)
8.5,Whiplash,107 min,(2014)
8.5,The Departed,151 min,(2006)
7.6,Star Wars: Episode III - Revenge of the Sith,140 min,(2005)
7.7,Ex Machina,108 min,(2014)
7.8,The Big Short,130 min,(2015)
8.1,The Grand Budapest Hotel,99 min,(2014)
8.2,Room,118 min,(I) (2015)
7.6,The LEGO Batman Movie,104 min,(2017)
8.0,The Martian,144 min,(2015)
8.0,The Revenant,156 min,(2015)
7.6,Watchmen,162 min,(2009)
8.0,The Perks of Being a Wallflower,102 min,(2012)
8.1,No Country for Old Men,122 min,(2007)
7.7,300,117 min,(2006)
8.5,Gladiator,155 min,(2000)
8.4,Django Unchained,165 min,(2012)
7.7,Harry Potter and the Deathly Hallows: Part 1,146 min,(2010)
8.4,Requiem for a Dream,102 min,(2000)
8.1,Donnie Darko,113 min,(2001)
8.5,Memento,113 min,(2000)
8.3,Snatch,104 min,(2000)
8.1,There Will Be Blood,158 min,(2007)
8.1,Spotlight,128 min,(I) (2015)
8.0,Her,126 min,(2013)
7.8,Harry Potter and the Prisoner of Azkaban,142 min,(2004)
7.6,Sicario,121 min,(2015)
7.7,Love Actually,135 min,(2003)
8.1,Kill Bill: Vol. 1,111 min,(2003)
8.1,12 Years a Slave,134 min,(2013)
7.8,X: First Class,132 min,(2011)
7.6,Fury,134 min,(2014)
8.2,Warrior,140 min,(2011)
8.9,The Lord of the Rings: The Return of the King,201 min,(2003)
8.0,Mulholland Dr.,147 min,(2001)
7.6,American Psycho,102 min,(2000)
7.9,The Notebook,123 min,(2004)
8.1,The Imitation Game,114 min,(2014)
7.6,Superbad,113 min,(2007)
7.9,Iron Man,126 min,(2008)
7.8,The Girl with the Dragon Tattoo,158 min,(2011)
7.8,Captain America: The Winter Soldier,136 min,(2014)
8.1,Into the Wild,148 min,(2007)
7.8,Skyfall,143 min,(2012)
8.3,Batman Begins,140 min,(2005)
7.5,Harry Potter and the Half-Blood Prince,153 min,(2009)
7.5,Scott Pilgrim vs. the World,112 min,(2010)
7.9,Almost Famous,122 min,(2000)
7.6,The Hunger Games: Catching Fire,146 min,(2013)
8.2,Inside Out,95 min,(I) (2015)
7.9,The Hobbit: An Unexpected Journey,169 min,(2012)
7.7,Black Hawk Down,144 min,(2001)
8.4,Oldeuboi,101 min,(2003)
8.1,Catch Me If You Can,141 min,(2002)
8.3,Eternal Sunshine of the Spotless Mind,108 min,(2004)
8.6,Sen to Chihiro no kamikakushi,125 min,(2001)
8.1,Shutter Island,138 min,(2010)
7.9,Edge of Tomorrow,113 min,(2014)
7.8,The Fault in Our Stars,126 min,(2014)
